Year,MAKE,MODEL,VEHICLE_CLASS,ENGINE_SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL_CONSUMPTION,COEMISSIONS 
2000,HONDA,CIVIC COUPE Si,SUBCOMPACT,1.6,4,A4,X,10.5,216
2000,HONDA,CIVIC COUPE Si,SUBCOMPACT,1.6,4,M5,X,9.8,205
2000,HONDA,CIVIC COUPE SiR,SUBCOMPACT,1.6,4,M5,Z,10.9,223
2000,HONDA,CIVIC CX/DX/LX/EX,SUBCOMPACT,1.6,4,A4,X,10,202
2000,HONDA,CIVIC CX/DX/LX/EX,SUBCOMPACT,1.6,4,M5,X,8.8,184
2000,HONDA,CR-V,SUV,2,4,A4,X,12.5,267
2000,HONDA,CR-V,SUV,2,4,M5,X,12.5,267
2000,HONDA,INSIGHT,SUBCOMPACT,1,3,M5,X,4.9,104
2000,HONDA,ODYSSEY,MINIVAN,3.5,6,A4,X,14.9,292
2000,HONDA,PRELUDE,SUBCOMPACT,2.2,4,AS4,Z,12.7,260
2000,HONDA,PRELUDE,SUBCOMPACT,2.2,4,M5,Z,12,251
2000,HONDA,S2000,SUBCOMPACT,2,4,M6,Z,13.1,269
2000,HYUNDAI,ACCENT,COMPACT,1.5,4,A4,X,10.5,209
2000,HYUNDAI,ACCENT,COMPACT,1.5,4,M5,X,9.7,198
2000,HYUNDAI,ELANTRA,COMPACT,2,4,A4,X,12.2,242
2000,HYUNDAI,ELANTRA,COMPACT,2,4,M5,X,11.3,223
2000,HYUNDAI,ELANTRA WAGON,STATION WAGON - SMALL,2,4,A4,X,12.5,248
2000,HYUNDAI,ELANTRA WAGON,STATION WAGON - SMALL,2,4,M5,X,11.4,228
2000,HYUNDAI,SONATA 2.4L,MID-SIZE,2.4,4,A4,X,13,260
2000,HYUNDAI,SONATA 2.5L,MID-SIZE,2.5,6,A4,X,13.2,262
2000,HYUNDAI,TIBURON,SUBCOMPACT,2,4,A4,X,12.2,244
2000,HYUNDAI,TIBURON,SUBCOMPACT,2,4,M5,X,11.4,228
2000,INFINITI,G20,COMPACT,2,4,A4,X,11.6,235
2000,INFINITI,G20,COMPACT,2,4,M5,X,11.4,230
2000,INFINITI,I30,MID-SIZE,3,6,A4,X,13.4,265
2000,INFINITI,QX4 4X4,SUV,3.3,6,A4,X,17.7,366
2000,ISUZU,HOMBRE,PICKUP TRUCK - SMALL,2.2,4,A4,X,13.8,278
2000,ISUZU,HOMBRE,PICKUP TRUCK - SMALL,2.2,4,M5,X,12.2,246
2000,ISUZU,HOMBRE,PICKUP TRUCK - SMALL,4.3,6,A4,X,15.4,313
2000,ISUZU,HOMBRE 4X4,PICKUP TRUCK - STANDARD,4.3,6,A4,X,16.8,345
2000,ISUZU,RODEO 4X4,SUV,3.2,6,A4,X,16.6,340
2000,ISUZU,RODEO 4X4,SUV,3.2,6,M5,X,16.8,347
2000,ISUZU,TROOPER 4X4,SUV,3.5,6,A4,X,17.8,366
2000,ISUZU,TROOPER 4X4,SUV,3.5,6,M5,X,17.9,368
2000,JAGUAR,S-TYPE V6,MID-SIZE,3,6,A5,Z,14.8,290
2000,JAGUAR,S-TYPE V8,MID-SIZE,4,8,A5,Z,15.3,308
2000,JAGUAR,VANDEN PLAS,MID-SIZE,4,8,A5,Z,15.5,306
2000,JAGUAR,VANDEN PLAS SUPERCHARGED,MID-SIZE,4,8,A5,Z,16.6,331
2000,JAGUAR,XJ8,COMPACT,4,8,A5,Z,15.5,306
2000,JAGUAR,XJR #,COMPACT,4,8,A5,Z,16.5,331
2000,JAGUAR,XK8,SUBCOMPACT,4,8,A5,Z,15.4,304
2000,JAGUAR,XK8 CONVERTIBLE,MINICOMPACT,4,8,A5,Z,15.5,306
2000,JAGUAR,XKR #,SUBCOMPACT,4,8,A5,Z,15.7,313
2000,JAGUAR,XKR CONVERTIBLE #,MINICOMPACT,4,8,A5,Z,16.3,324
2000,JEEP,CHEROKEE 4X4,SUV,4,6,A4,X,16.6,338
2000,JEEP,CHEROKEE 4X4,SUV,4,6,M5,X,15.4,317
2000,JEEP,GRAND CHEROKEE 4X4,SUV,4,6,A4,X,16.5,336
2000,JEEP,GRAND CHEROKEE 4X4,SUV,4.7,8,A4,X,18,363
2000,JEEP,TJ 4X4,SUV,2.5,4,A3,X,16.6,357
2000,JEEP,TJ 4X4,SUV,2.5,4,M5,X,14.7,315
2000,JEEP,TJ 4X4,SUV,4,6,A3,X,17.3,368
2000,JEEP,TJ 4X4,SUV,4,6,M5,X,16.7,347
2000,KIA,SEPHIA,COMPACT,1.8,4,A4,X,11.7,235
2000,KIA,SEPHIA,COMPACT,1.8,4,M5,X,11.2,237
2000,KIA,SPORTAGE 4X4,SUV,2,4,A4,X,13.4,294
2000,KIA,SPORTAGE 4X4,SUV,2,4,M5,X,12.8,288
2000,LAND ROVER,DISCOVERY SERIES II 4X4,SUV,4,8,A4,Z,19.6,403
2000,LAND ROVER,DISCOVERY SERIES II 4X4,SUV,4,8,A4,Z,19.6,403
2000,LAND ROVER,RANGE ROVER 4X4,SUV,4,8,A4,Z,19.6,403
2000,LAND ROVER,RANGE ROVER 4X4,SUV,4.6,8,A4,Z,22.1,458
2000,LEXUS,ES 300,COMPACT,3,6,A4,X,13.8,276
2000,LEXUS,GS 300,MID-SIZE,3,6,A5,Z,13.7,281
2000,LEXUS,GS 400,MID-SIZE,4,8,A5,Z,15,299
2000,LEXUS,LS 400,MID-SIZE,4,8,A5,Z,14.3,285
2000,LEXUS,LX 470,SUV,4.7,8,A4,X,19.4,405
2000,LEXUS,RX 300,SUV,3,6,A4,X,14.2,292
2000,LEXUS,RX 300 4X4,SUV,3,6,A4,X,14.4,299
2000,LINCOLN,CONTINENTAL,FULL-SIZE,4.6,8,A4,Z,15.2,297
2000,LINCOLN,LS,MID-SIZE,3,6,A5,X,15.4,304
2000,LINCOLN,LS,MID-SIZE,3,6,M5,X,15.5,304
2000,LINCOLN,LS,MID-SIZE,3.9,8,A5,X,15.9,313
2000,LINCOLN,NAVIGATOR 4X4,SUV,5.4,8,A4,Z,21.4,430
2000,LINCOLN,TOWN CAR,FULL-SIZE,4.6,8,A4,X,15.3,304
2000,MAZDA,626,MID-SIZE,2,4,A4,X,12.7,258
2000,MAZDA,626,MID-SIZE,2,4,M5,X,10.6,219
2000,MAZDA,626,MID-SIZE,2.5,6,A4,Z,13.7,278
2000,MAZDA,626,MID-SIZE,2.5,6,M5,Z,13.3,271
2000,MAZDA,B3000,PICKUP TRUCK - STANDARD,3,6,A4,X,15.6,313
2000,MAZDA,B3000,PICKUP TRUCK - STANDARD,3,6,M5,X,16.2,322
2000,MAZDA,B4000,PICKUP TRUCK - STANDARD,4,6,A5,X,17.1,357
